,"Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)"
"Country","2050","2040","2030","2020","2010","2000","1990","1980","1970","1960","1950"
"Afghanistan","45.3","39.5","34.0","28.9","24.7","21.3","18.3","15.7","11.5","8.2","5.8"
"Albania","75.8","72.8","68.8","62.0","52.2","41.7","36.4","33.8","31.7","30.7","20.5"
"Algeria","82.1","79.9","77.4","73.4","67.5","59.9","52.1","43.5","39.5","30.5","22.2"
"Andorra","83.0","81.3","80.3","82.8","87.8","92.4","94.7","92.1","80.2","58.5","38.8"
"Angola","63.8","59.4","54.4","47.8","40.1","32.4","25.6","19.8","15.0","10.4","7.6"
"Antigua and Barbuda","26.3","23.5","21.4","22.2","26.2","32.1","35.4","34.6","33.8","39.7","30.1"
"Argentina","94.7","94.1","93.4","92.4","91.0","89.1","87.0","82.9","78.9","73.6","65.3"
"Armenia","70.5","66.8","63.5","62.3","63.6","64.7","67.4","66.1","59.9","51.3","40.3"
"Australia","92.9","92.1","91.2","90.1","88.7","87.2","85.4","85.8","85.3","81.5","77.0"
"Austria","74.7","71.5","68.4","66.4","65.9","65.8","65.8","65.4","65.3","64.7","63.6"
"Azerbaijan","68.0","64.0","59.8","56.1","53.4","51.4","53.7","52.8","50.0","52.7","45.7"
"Bahamas","87.0","85.7","84.4","83.3","82.5","82.0","79.8","73.1","66.8","59.7","52.1"
"Bahrain","91.8","90.9","90.0","89.1","88.5","88.4","88.1","86.1","83.8","82.3","64.4"
"Bangladesh","55.7","50.5","44.9","38.0","30.5","23.6","19.8","14.9","7.6","5.1","4.3"
"Barbados","38.9","35.5","32.6","31.4","32.1","33.8","32.7","39.6","37.5","36.8","36.1"
"Belarus","85.2","83.4","81.4","78.5","74.6","70.0","66.0","56.5","44.0","32.4","26.2"
"Belgium","98.6","98.5","98.3","98.0","97.6","97.1","96.4","95.4","93.8","92.5","91.5"
