,Country,Year,No_TB,Per_TBwithHIV,Per_TBwithHIV_tested,Per_TBwithHIV_CPT,Per_TBwithHIV_ART,Per_new_RRorMDR_TBres,No_RRorMDR_TBres,Per_success_treat_oldTBcases,Per_success_treat_newTBcases,Prevalence_female_smoking,Prevalence_male_smoking,Alcohol_consumption_liters_per_cap,Diabetes_mortality_rate,Hospital_density,Healthposts_density,Heathcentres_density,Per_cleanwater_access,Per_sanitation_access,Life_expectancy,Per_urban_pop_2010,Per_childbelow5_underweight,Pop,Pop_under_15,Pop_over_60
0,AFG,1990,,,,,,,,,,,,,,,,,,,49,,,11731,48.66,3.07
1,AFG,1991,,,,,,,,,,,,,,,,,,,,,,12612,48.52,3.13
2,AFG,1992,,,,,,,,,,,,,,,,,,,,,,13812,48.33,3.23
3,AFG,1993,,,,,,,,,,,,,,,,,,,,,,15175,48.16,3.32
4,AFG,1994,,,,,,,,,,,,,,,,,,,,,,16485,48.1,3.39
5,AFG,1995,,,,,,,,,,,,,,,,,,,,,,17586,48.16,3.42
6,AFG,1996,,,,,,,,,,,,,,,,,,,,,,18415,48.35,3.43
7,AFG,1997,,,,,,,,,45,,,,,,,,,,,,,19021,48.64,3.43
8,AFG,1998,,,,,,,,78,33,,,,,,,,,,,,,19497,48.98,3.4
9,AFG,1999,,,,,,,,84,86,,,,,,,,,,,,,19987,49.27,3.38
10,AFG,2000,,,,,,,,78,85,,,0,34,,,,30.3,23.4,55,,,20595,49.46,3.36
11,AFG,2001,,,,,,,,,84,,,0,,,,,,,,,,21348,49.54,3.35
12,AFG,2002,,,,,,,,,87,,,0,,,,,,,,,,22203,49.52,3.35
13,AFG,2003,13949,,,,,,,,86,,,0.01,,,,,,,,,,23116,49.45,3.35
14,AFG,2004,18404,,,,,,,,89,,,0.01,,,,,,,,,32.9,24019,49.37,3.37
15,AFG,2005,21844,,,,,,,89,90,,,0.01,,,,,,,,,,24861,49.31,3.4
16,AFG,2006,25475,,,,,,,79,84,,,0.03,,,,,,,,,,25631,49.28,3.45
17,AFG,2007,28769,0,,,,,,83,87,,,0.02,,,,,,,,,,26349,49.25,3.51
18,AFG,2008,28301,0,,,,,,,88,,,0.03,,,,,,,,,,27032,49.17,3.58
19,AFG,2009,26358,4.5,0.43,100,100,,,,86,,,0,,,,,,,,,,27708,48.96,3.65
20,AFG,2010,28238,18,0.09,100,100,1.8,19,79,86,,,0,,,2.87,1.19,,,,24.7,,28398,48.6,3.71
21,AFG,2011,28167,23,0.09,80,80,,20,77,88,,,,,,,,,,,,,29105,48.08,3.77
22,AFG,2012,29578,25,0.09,,,,38,65,88,,,,36.4,,,,,,60,,,29825,47.42,3.82
23,AFG,2013,31622,26,0.11,,,0.09,73,74,88,,,,,0.37,2.95,1.22,,,61,,,30552,46.6,3.9
24,AFG,2014,32712,32,0.09,,,0.09,88,,,,,,,,,,,,,,,,,
25,AFG,2015,,,,,,,,,,,,,,,,,55.3,31.9,,,,,,
26,ALB,1990,,,,,,,,,,,,,,,,,,78.1,69,,,3447,34.03,7.55
27,ALB,1991,,,,,,,,,,,,,,,,,,,,,,3460,33.71,7.7
28,ALB,1992,,,,,,,,,,,,,,,,,,,,,,3447,33.4,7.89
29,ALB,1993,,,,,,,,,,,,,,,,,,,,,,3417,33.1,8.11
30,ALB,1994,,,,,,,,,,,,,,,,,,,,,,3384,32.79,8.36
31,ALB,1995,,,,,,,,,,,,,,,,,,,,,,3358,32.46,8.62
32,ALB,1996,,,,,,,,,,,,,,,,,,,,,,3341,32.11,8.91
33,ALB,1997,,,,,,,,,,,,,,,,,,,,,,3331,31.75,9.2
34,ALB,1998,,,,,,,,,,,,,,,,,,,,,,3325,31.35,9.52
35,ALB,1999,,,,,,,,,,,,,,,,,,,,,,3318,30.89,9.86
36,ALB,2000,,,,,,,,,,11.6,56.9,3.96,8.3,,,,96.1,83.4,70,,,3305,30.34,10.22
37,ALB,2001,,,,,,,,75,91,,,4.54,,,,,,,,,,3286,29.7,10.63
38,ALB,2002,,,,,,,,70,84,,,3.94,,,,,,,,,,3264,28.96,11.06
39,ALB,2003,561,,,,,,,100,88,,,4.27,,,,,,,,,,3239,28.16,11.5
40,ALB,2004,581,25,,,,,,86,75,,,4.41,,,,,,,,,,3216,27.34,11.94
41,ALB,2005,540,15,1.2,,,75,1,73,81,10.1,54.7,4.91,,,,,,,,,6.6,3196,26.53,12.36
42,ALB,2006,502,10,5.9,,100,71,1,86,87,,,5.04,,,,,,,,,,3180,25.75,12.75
43,ALB,2007,447,8.3,2.7,0,100,94,3,84,87,,,5.22,,,,,,,,,,3166,25.01,13.12
44,ALB,2008,434,41,2.3,100,100,,2,75,88,,,5.36,,,,,,,,,,3157,24.29,13.47
45,ALB,2009,447,47,2.8,67,100,58,2,76,86,,,5.58,,,,,,,,,,3151,23.57,13.83
46,ALB,2010,445,42,0,,,76,3,90,89,8.7,53.1,4.98,,,12.95,,,,,52.2,,3150,22.83,14.19
47,ALB,2011,431,39,1.2,100,100,87,11,83,92,,,4.96,,,,,,,,,,3154,22.08,14.56
48,ALB,2012,420,55,3,100,100,76,5,67,92,8.2,52.1,,7,,,,,,74,,,3162,21.33,14.93
49,ALB,2013,474,23,1.8,100,100,14,2,,88,,,,,1.36,13.08,,,,74,,,3173,20.6,15.3
50,ALB,2014,408,10,4.9,100,100,13,3,,,,,,,,,,,,,,,,,
51,ALB,2015,,,,,,,,,,7.6,51.2,,,,,,95.1,93.2,,,,,,
52,ALB,2020,,,,,,,,,,6.6,49.5,,,,,,,,,,,,,
53,ALB,2025,,,,,,,,,,5.8,48.3,,,,,,,,,,,,,
54,DZA,1990,,,,,,,,,,,,,,,,,91.5,80.3,68,,,26240,43.84,4.94
55,DZA,1991,,,,,,,,,,,,,,,,,,,,,,26894,43.26,5
56,DZA,1992,,,,,,,,,,,,,,,,,,,,,,27535,42.62,5.07
57,DZA,1993,,,,,,,,,,,,,,,,,,,,,,28158,41.9,5.16
58,DZA,1994,,,,,,,,,,,,,,,,,,,,,,28753,41.07,5.26
59,DZA,1995,,,,,,,,,,,,,,,,,,,,,,29315,40.12,5.36
60,DZA,1996,,,,,,,,65,86,,,,,,,,,,,,,29845,39.05,5.47
61,DZA,1997,,,,,,,,,86,,,,,,,,,,,,,30345,37.9,5.58
62,DZA,1998,,,,,,,,,70,,,,,,,,,,,,,30820,36.68,5.7
63,DZA,1999,,,,,,,,85,87,,,,,,,,,,,,,31276,35.43,5.81
