country code,Prevalence (2005)
AFG,0.000878645
ALB,0.000168961
DZA,0.000633109
AND,0.000123457
AGO,0.002316066
ATG,7.23E-05
ARG,0.000290882
ARM,0.000770149
AUS,5.23E-05
AUT,0.000115791
AZE,0.000924909
BHS,0.000151976
BHR,0.000318182
BGD,0.000860965
BLR,0.000657734
BEL,0.000108869
BLZ,0.000389706
BEN,0.000422513
BTN,0.001566154
BOL,0.001066061
BIH,0.000556701
BWA,0.005385928
BRA,0.000468941
BRN,0.000442935
BGR,0.00042978
BFA,0.000271569
BDI,0.000852896
CPV,0.000636743
KHM,0.002704627
CMR,0.001216948
CAN,5.01E-05
CAF,0.000842716
TCD,0.000649591
CHL,0.000161158
CHN,0.000744744
COL,0.000239904
COM,0.000186356
COG,0.002811459
COK,5.26E-05
CRI,0.00012963
HRV,0.000260652
CUB,6.92E-05
CYP,3.58E-05
CZE,9.84E-05
CIV,0.001151317
PRK,0.002119599
COD,0.001842711
DNK,7.83E-05
DJI,0.004079794
DOM,0.000568554
ECU,0.000348987
EGY,0.00016349
SLV,0.000301334
ERI,0.000744129
EST,0.000391698
ETH,0.001642903
FJI,0.000160584
FIN,6.88E-05
FRA,8.75E-05
GAB,0.001893401
GMB,0.001475296
GEO,0.001440894
DEU,7.21E-05
GHA,0.000566966
GRC,6.95E-05
GTM,0.000304519
GNB,0.001277075
GIN,0.000740393
GUY,0.000862024
HTI,0.001548861
HND,0.000483113
HUN,0.000200475
ISL,3.70E-05
IND,0.001154715
IDN,0.00113156
IRN,0.00013351
IRQ,0.000345326
IRL,0.000110871
ISR,5.63E-05
ITA,7.05E-05
JAM,3.54E-05
JPN,0.000222984
JOR,7.08E-05
KAZ,0.002683816
KEN,0.003029145
KIR,0.003766667
KWT,0.000225174
KGZ,0.001341729
LAO,0.000657399
LVA,0.000647666
LBN,9.81E-05
LSO,0.00592108
LBR,0.001056881
LBY,0.000423132
LTU,0.000783085
LUX,8.08E-05
MDG,0.00106479
MWI,0.00213617
MYS,0.000621677
MDV,0.000412752
MLI,0.000409011
MLT,5.54E-05
MHL,0.002153846
MRT,0.000705022
MUS,0.000104699
MEX,0.000179568
FSM,0.001056604
MNG,0.001870202
MNE,0.000275974
MAR,0.000872
MOZ,0.001604855
MMR,0.00215203
NAM,0.007841145
NRU,0.0011
NPL,0.001347343
NLD,7.10E-05
NZL,8.22E-05
NIC,0.000380568
NER,0.000623786
NGA,0.000477486
NIU,0
NOR,6.27E-05
OMN,0.000103489
PAK,0.000916272
PLW,0.0005
PAN,0.000543078
PNG,0.002061024
PRY,0.000397696
PER,0.001282004
PHL,0.001597511
POL,0.000242894
PRT,0.000336409
QAT,0.000395859
KOR,0.000998639
MDA,0.001666578
ROU,0.001327138
RUS,0.001072076
RWA,0.000814508
KNA,4.08E-05
LCA,8.48E-05
VCT,6.42E-05
WSM,0.000133333
STP,0.000980645
SAU,0.000143337
SEN,0.00089788
SRB,0.000348333
SYC,0.00016092
SLE,0.001353516
SGP,0.000326735
SVK,0.000140976
SVN,0.000139
SLB,0.000846482
SOM,0.001536081
ZAF,0.006270696
ESP,0.000192661
LKA,0.000485941
SDN,0.000923764
SUR,0.000238
SWZ,0.008021719
SWE,6.30E-05
CHE,7.60E-05
SYR,0.000241812
TJK,0.001105789
THA,0.000883098
MKD,0.000314833
TLS,0.003798193
TGO,0.000475632
TON,0.000178218
TTO,0.000138011
TUN,0.000206845
TUR,0.000314468
TKM,0.000693134
TUV,0.0015
UGA,0.001455492
UKR,0.000840292
ARE,2.53E-05
GBR,0.000143189
TZA,0.001653616
USA,4.72E-05
URY,0.000188271
UZB,0.001109315
VUT,0.00038756
VEN,0.000260046
VNM,0.001128832
YEM,0.00045
ZMB,0.004644028
ZWE,0.004318386
